    preflight: governor=performance thp=[always] mem_avail=14524MiB swap_used=599MiB gpu=17MiB,43,P8
    big tensor: per_layer_token_embd.weight 3127 MiB
    arch: qwen4exp | tensors: 1022
placement: -ot exps=CPU -ot ^(per_layer_token_embd\.weight)$=CPU
##### whittle_q2k_c0
    preflight: governor=performance thp=[always] mem_avail=14392MiB swap_used=599MiB gpu=17MiB,42,P8
whittle_q2k_c0 code    223 tok | wall 25.62 t/s | decode 29.46 t/s | prefill   37.3 t/s | accept -               | vram 1710 MiB | '```python\nfrom collections import OrderedDict\n\nc'
  gsm8k/17                     BAD  206 tok  34.56 t/s stop
  gsm8k/18                     ok    68 tok  35.68 t/s stop
  gsm8k/19                     BAD  102 tok  35.52 t/s stop
  gsm8k/20                     ok   256 tok  34.56 t/s stop
  gsm8k/21                     BAD   87 tok  34.94 t/s stop
  gsm8k/22                     ok    96 tok  34.86 t/s stop
  gsm8k/23                     ok    56 tok  35.38 t/s stop
  gsm8k/24                     ok    86 tok  34.30 t/s stop
  gsm8k/25                     ok   150 tok  35.72 t/s stop
  gsm8k/26                     ok   149 tok  35.61 t/s stop
  gsm8k/27                     BAD  148 tok  35.62 t/s stop
  gsm8k/28                     ok    85 tok  34.61 t/s stop
  gsm8k/29                     BAD  121 tok  34.40 t/s stop
  gsm8k/30                     ok   115 tok  34.11 t/s stop
  gsm8k/31                     ok   137 tok  34.92 t/s stop
  gsm8k/32                     ok    86 tok  35.09 t/s stop
  gsm8k/33                     ok   157 tok  33.95 t/s stop
  gsm8k/34                     ok   116 tok  34.29 t/s stop
  gsm8k/35                     ok    91 tok  35.46 t/s stop
  gsm8k/36                     ok   101 tok  36.02 t/s stop
  gsm8k/37                     ok   124 tok  35.00 t/s stop
  gsm8k/38                     ok   106 tok  35.41 t/s stop
  gsm8k/39                     BAD  187 tok  34.94 t/s stop
  gsm8k/40                     ok    75 tok  34.05 t/s stop
  gsm8k/41                     ok   112 tok  34.27 t/s stop
  gsm8k/42                     ok    88 tok  34.43 t/s stop
  gsm8k/43                     ok   138 tok  35.62 t/s stop
  gsm8k/44                     ok   162 tok  35.21 t/s stop
  gsm8k/45                     BAD  159 tok  34.13 t/s stop
  gsm8k/46                     BAD  178 tok  33.88 t/s stop
  gsm8k/47                     ok   187 tok  34.70 t/s stop
  gsm8k/48                     ok   100 tok  34.63 t/s stop
  gsm8k/49                     ok   107 tok  34.58 t/s stop
  gsm8k/50                     BAD  104 tok  35.28 t/s stop
  gsm8k/51                     ok    59 tok  35.32 t/s stop
  gsm8k/52                     ok   200 tok  34.46 t/s stop
  gsm8k/53                     ok   130 tok  34.44 t/s stop
  gsm8k/54                     ok    68 tok  34.06 t/s stop
  gsm8k/55                     ok    67 tok  34.65 t/s stop
  gsm8k/56                     ok    64 tok  34.63 t/s stop
  gsm8k/57                     ok   165 tok  33.87 t/s stop
  gsm8k/58                     ok   146 tok  34.71 t/s stop
  gsm8k/59                     ok   124 tok  34.23 t/s stop
  gsm8k/60                     ok   113 tok  34.61 t/s stop
  gsm8k/61                     ok   123 tok  34.89 t/s stop
  gsm8k/62                     BAD  133 tok  35.14 t/s stop
  gsm8k/63                     ok   148 tok  35.02 t/s stop
  gsm8k/64                     ok   116 tok  34.85 t/s stop
  gsm8k/65                     BAD   68 tok  34.64 t/s stop
  gsm8k/66                     ok   119 tok  35.36 t/s stop
  gsm8k/67                     ok   102 tok  34.55 t/s stop
  gsm8k/68                     BAD   68 tok  34.48 t/s stop
  gsm8k/69                     ok   121 tok  34.09 t/s stop
  gsm8k/70                     ok   131 tok  35.62 t/s stop
  gsm8k/71                     ok    64 tok  34.66 t/s stop
  gsm8k/72                     ok   155 tok  34.60 t/s stop
  gsm8k/73                     ok   121 tok  35.32 t/s stop
  gsm8k/74                     ok   135 tok  34.26 t/s stop
  gsm8k/75                     BAD  186 tok  33.86 t/s stop
  gsm8k/76                     ok   261 tok  34.85 t/s stop
  gsm8k/77                     ok   140 tok  33.77 t/s stop
  gsm8k/78                     ok   115 tok  35.41 t/s stop
  gsm8k/79                     ok    54 tok  35.02 t/s stop
  gsm8k/80                     ok   113 tok  34.41 t/s stop
  gsm8k/81                     ok   109 tok  34.70 t/s stop
  gsm8k/82                     ok    79 tok  34.74 t/s stop
  gsm8k/83                     ok   117 tok  34.28 t/s stop
  gsm8k/84                     ok   145 tok  34.10 t/s stop
  gsm8k/85                     ok    79 tok  34.46 t/s stop
  gsm8k/86                     ok   132 tok  34.33 t/s stop
  gsm8k/87                     BAD  181 tok  35.07 t/s stop
  gsm8k/88                     ok   158 tok  33.69 t/s stop
  gsm8k/89                     BAD  109 tok  34.62 t/s stop
  gsm8k/90                     ok   119 tok  34.96 t/s stop
  gsm8k/91                     ok    99 tok  34.24 t/s stop
  gsm8k/92                     ok   114 tok  34.68 t/s stop
  gsm8k/93                     ok   129 tok  34.84 t/s stop
  gsm8k/94                     ok   138 tok  34.60 t/s stop
  gsm8k/95                     ok   109 tok  34.49 t/s stop
  gsm8k/96                     ok    43 tok  34.76 t/s stop
  gsm8k/97                     BAD  250 tok  34.84 t/s stop
  gsm8k/98                     BAD  131 tok  34.07 t/s stop
  gsm8k/99                     BAD  108 tok  34.25 t/s stop
  gsm8k/100                    BAD  188 tok  33.62 t/s stop
  gsm8k/101                    ok   102 tok  34.13 t/s stop
  gsm8k/102                    BAD  100 tok  34.89 t/s stop
  gsm8k/103                    ok    83 tok  34.80 t/s stop
  gsm8k/104                    ok   140 tok  34.19 t/s stop
  gsm8k/105                    ok    56 tok  34.75 t/s stop
  gsm8k/106                    ok   173 tok  35.00 t/s stop
  gsm8k/107                    BAD  599 tok  34.22 t/s stop
  gsm8k/108                    ok   193 tok  33.59 t/s stop
  gsm8k/109                    ok   134 tok  34.66 t/s stop
  gsm8k/110                    ok   134 tok  34.37 t/s stop
  gsm8k/111                    BAD   84 tok  34.82 t/s stop
  gsm8k/112                    ok    80 tok  34.40 t/s stop
  gsm8k/113                    ok    60 tok  34.25 t/s stop
  gsm8k/114                    ok   212 tok  33.42 t/s stop
  gsm8k/115                    ok   188 tok  35.22 t/s stop
  gsm8k/116                    ok   146 tok  34.11 t/s stop
  gsm8k/117                    ok    90 tok  34.62 t/s stop
  gsm8k/118                    ok   152 tok  34.17 t/s stop
  gsm8k/119                    ok   472 tok  34.31 t/s stop
  gsm8k/120                    ok    76 tok  34.62 t/s stop
  gsm8k/121                    ok    90 tok  34.81 t/s stop
  gsm8k/122                    ok   191 tok  35.20 t/s stop
  gsm8k/123                    ok    92 tok  35.03 t/s stop
  gsm8k/124                    ok   116 tok  34.07 t/s stop
  gsm8k/125                    ok   150 tok  33.93 t/s stop
  gsm8k/126                    ok    64 tok  34.27 t/s stop
  gsm8k/127                    ok    60 tok  34.75 t/s stop
  gsm8k/128                    ok   172 tok  34.75 t/s stop
  gsm8k/129                    ok   139 tok  34.81 t/s stop
  gsm8k/130                    ok   130 tok  34.16 t/s stop
  gsm8k/131                    ok    98 tok  34.22 t/s stop
  gsm8k/132                    ok    83 tok  34.74 t/s stop
  gsm8k/133                    ok    80 tok  34.58 t/s stop
  gsm8k/134                    ok    74 tok  34.64 t/s stop
  gsm8k/135                    BAD   94 tok  34.08 t/s stop
  gsm8k/136                    ok    96 tok  33.83 t/s stop
  gsm8k/137                    ok   192 tok  34.96 t/s stop
  gsm8k/138                    ok   144 tok  34.73 t/s stop
  gsm8k/139                    ok    83 tok  34.60 t/s stop
  gsm8k/140                    ok   126 tok  34.34 t/s stop
  gsm8k/141                    ok   271 tok  34.21 t/s stop
  gsm8k/142                    ok   167 tok  34.85 t/s stop
  gsm8k/143                    BAD   97 tok  35.08 t/s stop
  gsm8k/144                    ok   136 tok  35.18 t/s stop
  gsm8k/145                    ok   252 tok  34.72 t/s stop
  gsm8k/146                    ok   118 tok  34.64 t/s stop
  gsm8k/147                    ok   184 tok  33.95 t/s stop
  gsm8k/148                    ok   151 tok  34.49 t/s stop
  gsm8k/149                    ok   100 tok  33.83 t/s stop
  gsm8k/150                    BAD  230 tok  34.76 t/s stop
  gsm8k/151                    ok   219 tok  34.44 t/s stop
  gsm8k/152                    ok   104 tok  35.29 t/s stop
  gsm8k/153                    BAD  245 tok  33.75 t/s stop
  gsm8k/154                    BAD  120 tok  35.32 t/s stop
  gsm8k/155                    ok   183 tok  35.06 t/s stop
  gsm8k/156                    ok   137 tok  34.62 t/s stop
  gsm8k/157                    ok   172 tok  35.34 t/s stop
  gsm8k/158                    ok   127 tok  34.74 t/s stop
  gsm8k/159                    ok   105 tok  33.60 t/s stop
  gsm8k/160                    ok    82 tok  34.01 t/s stop
  gsm8k/161                    ok   161 tok  34.47 t/s stop
  gsm8k/162                    BAD  311 tok  35.60 t/s stop
  gsm8k/163                    ok   122 tok  34.70 t/s stop
  gsm8k/164                    ok    96 tok  34.54 t/s stop
  gsm8k/165                    BAD  154 tok  34.68 t/s stop
  gsm8k/166                    ok    89 tok  34.53 t/s stop
  gsm8k/167                    ok   182 tok  34.34 t/s stop
  gsm8k/168                    ok    66 tok  34.43 t/s stop
  gsm8k/169                    ok   104 tok  35.49 t/s stop
  gsm8k/170                    ok   104 tok  34.84 t/s stop
  gsm8k/171                    BAD  123 tok  34.58 t/s stop
  gsm8k/172                    ok   137 tok  34.04 t/s stop
  gsm8k/173                    ok   125 tok  34.76 t/s stop
  gsm8k/174                    ok   115 tok  35.09 t/s stop
  gsm8k/175                    ok   223 tok  34.67 t/s stop
  gsm8k/176                    ok    65 tok  33.83 t/s stop
  gsm8k/177                    BAD  210 tok  35.09 t/s stop
  gsm8k/178                    ok   106 tok  34.04 t/s stop
  gsm8k/179                    ok    61 tok  35.21 t/s stop
  gsm8k/180                    ok    82 tok  34.05 t/s stop
  gsm8k/181                    ok   205 tok  33.63 t/s stop
  gsm8k/182                    BAD  178 tok  34.25 t/s stop
  gsm8k/183                    ok   259 tok  34.98 t/s stop
  gsm8k/184                    BAD  220 tok  33.91 t/s stop
  gsm8k/185                    ok    61 tok  33.84 t/s stop
  gsm8k/186                    BAD  768 tok  33.82 t/s length
  gsm8k/187                    ok   131 tok  34.22 t/s stop
  gsm8k/188                    ok   112 tok  34.43 t/s stop
  gsm8k/189                    ok   167 tok  32.71 t/s stop
  gsm8k/190                    ok    97 tok  32.25 t/s stop
  gsm8k/191                    ok    85 tok  32.24 t/s stop
  gsm8k/192                    ok   145 tok  33.46 t/s stop
  gsm8k/193                    ok   151 tok  33.99 t/s stop
  gsm8k/194                    ok    57 tok  34.62 t/s stop
  gsm8k/195                    ok   105 tok  32.92 t/s stop
  gsm8k/196                    ok   116 tok  33.09 t/s stop
  gsm8k/197                    ok   111 tok  32.95 t/s stop
  gsm8k/198                    ok   148 tok  31.54 t/s stop
  gsm8k/199                    BAD  187 tok  33.50 t/s stop
  mmlu_pro/3126                BAD  219 tok  33.91 t/s stop
  mmlu_pro/503                 BAD  311 tok  33.14 t/s stop
  mmlu_pro/3989                ok   143 tok  33.35 t/s stop
  mmlu_pro/7483                BAD   72 tok  33.47 t/s stop
  mmlu_pro/11820               ok   457 tok  33.24 t/s stop
  mmlu_pro/6607                BAD   96 tok  35.42 t/s stop
  mmlu_pro/4863                BAD   24 tok  33.11 t/s stop
  mmlu_pro/1373                ok    74 tok  33.02 t/s stop
  mmlu_pro/8347                ok    70 tok  33.24 t/s stop
  mmlu_pro/5738                BAD   92 tok  33.47 t/s stop
  mmlu_pro/10950               BAD  418 tok  32.37 t/s stop
  mmlu_pro/9208                ok   292 tok  32.65 t/s stop
  mmlu_pro/2247                BAD   36 tok  33.27 t/s stop
  mmlu_pro/3146                ok   125 tok  33.18 t/s stop
  mmlu_pro/523                 ok   381 tok  34.83 t/s stop
  mmlu_pro/4009                BAD  201 tok  32.68 t/s stop
  mmlu_pro/7503                ok    88 tok  33.74 t/s stop
  mmlu_pro/11840               BAD  929 tok  34.28 t/s stop
  mmlu_pro/6627                ok   101 tok  33.63 t/s stop
  mmlu_pro/4883                BAD   48 tok  33.77 t/s stop
  mmlu_pro/1395                BAD   72 tok  33.70 t/s stop
  mmlu_pro/8367                BAD   98 tok  33.77 t/s stop
  mmlu_pro/5758                BAD   67 tok  34.26 t/s stop
  mmlu_pro/10971               ok    96 tok  35.48 t/s stop
  mmlu_pro/9228                ok   587 tok  33.52 t/s stop
  mmlu_pro/2268                BAD  102 tok  33.68 t/s stop
  mmlu_pro/3166                BAD   77 tok  33.90 t/s stop
  mmlu_pro/544                 ok  2007 tok  33.61 t/s stop
  mmlu_pro/4030                BAD  266 tok  32.37 t/s stop
  mmlu_pro/7524                BAD   32 tok  31.52 t/s stop
  mmlu_pro/11860               BAD  250 tok  32.00 t/s stop
  mmlu_pro/6647                ok   105 tok  31.71 t/s stop
  mmlu_pro/4903                BAD   28 tok  31.02 t/s stop
  mmlu_pro/1416                BAD   86 tok  32.06 t/s stop
  mmlu_pro/8387                ok   121 tok  32.34 t/s stop
  mmlu_pro/5778                BAD   70 tok  31.72 t/s stop
  mmlu_pro/10992               BAD  136 tok  31.52 t/s stop
  mmlu_pro/9248                BAD  223 tok  32.39 t/s stop
  mmlu_pro/2288                ok    83 tok  32.12 t/s stop
  mmlu_pro/3186                ok    38 tok  31.86 t/s stop
  mmlu_pro/564                 ok  1249 tok  33.65 t/s stop
  mmlu_pro/4050                ok   764 tok  32.89 t/s stop
  mmlu_pro/7544                ok   346 tok  34.71 t/s stop
  mmlu_pro/11881               BAD  760 tok  33.70 t/s stop
  mmlu_pro/6667                BAD 2048 tok  34.76 t/s length
  mmlu_pro/4923                BAD   60 tok  30.43 t/s stop
  mmlu_pro/1438                BAD 2048 tok  35.42 t/s length
  mmlu_pro/8407                ok   726 tok  33.74 t/s stop
  mmlu_pro/5799                ok   317 tok  33.44 t/s stop
  mmlu_pro/11013               ok    70 tok  32.78 t/s stop
  mmlu_pro/9268                BAD 2048 tok  33.98 t/s length
  mmlu_pro/2308                ok    52 tok  33.91 t/s stop
  mmlu_pro/3206                BAD  107 tok  33.75 t/s stop
  mmlu_pro/584                 BAD  798 tok  33.83 t/s stop
  mmlu_pro/4070                BAD   20 tok  32.59 t/s stop
  mmlu_pro/7564                BAD   81 tok  34.66 t/s stop
  mmlu_pro/11901               BAD 2048 tok  34.49 t/s length
  mmlu_pro/6687                ok    90 tok  33.51 t/s stop
  mmlu_pro/4943                BAD   89 tok  34.45 t/s stop
  mmlu_pro/1458                BAD  246 tok  33.68 t/s stop
  mmlu_pro/8427                BAD 2048 tok  33.77 t/s length
  mmlu_pro/5820                ok    37 tok  32.50 t/s stop
  mmlu_pro/11034               ok    99 tok  34.01 t/s stop
  mmlu_pro/9288                ok   150 tok  34.10 t/s stop
  mmlu_pro/2328                BAD 2048 tok  34.11 t/s length
  mmlu_pro/10073               BAD 2048 tok  33.93 t/s length
  mmlu_pro/10094               BAD  441 tok  34.20 t/s stop
  mmlu_pro/10115               BAD  448 tok  31.67 t/s stop
  mmlu_pro/10136               ok   530 tok  33.29 t/s stop
  mmlu_pro/10156               BAD   73 tok  26.29 t/s stop
  mmlu_pro/508                 ok    41 tok  27.87 t/s stop
  mmlu_pro/513                 ok   135 tok  34.13 t/s stop
  mmlu_pro/518                 BAD   23 tok  23.90 t/s stop
  mmlu_pro/528                 ok   148 tok  24.48 t/s stop
  mmlu_pro/533                 BAD 2048 tok  32.83 t/s length
  mmlu_pro/539                 BAD 1517 tok  31.93 t/s stop
  mmlu_pro/549                 ok   579 tok  33.91 t/s stop
  mmlu_pro/554                 BAD  164 tok  33.89 t/s stop
  mmlu_pro/559                 ok   220 tok  32.62 t/s stop
  mmlu_pro/569                 ok    32 tok  30.08 t/s stop
  mmlu_pro/574                 BAD  164 tok  30.07 t/s stop
  mmlu_pro/579                 BAD 2048 tok  32.80 t/s length
  mmlu_pro/589                 ok   110 tok  33.69 t/s stop
  mmlu_pro/594                 BAD  119 tok  32.93 t/s stop
  mmlu_pro/599                 BAD 2048 tok  33.31 t/s length
  mmlu_pro/1380                BAD   97 tok  31.97 t/s stop
  mmlu_pro/1385                BAD  304 tok  29.69 t/s stop
  mmlu_pro/1390                BAD  101 tok  33.17 t/s stop
  mmlu_pro/1401                BAD   78 tok  31.76 t/s stop
  mmlu_pro/1406                BAD  109 tok  32.88 t/s stop
  mmlu_pro/1411                BAD   51 tok  31.77 t/s stop
  mmlu_pro/1423                BAD   85 tok  29.21 t/s stop
  mmlu_pro/1428                BAD  105 tok  34.08 t/s stop
  mmlu_pro/1433                ok   137 tok  32.91 t/s stop
  mmlu_pro/1443                ok   110 tok  33.12 t/s stop
  mmlu_pro/1448                BAD   99 tok  32.19 t/s stop
  mmlu_pro/1453                BAD  675 tok  30.39 t/s stop
  mmlu_pro/1463                BAD  122 tok  29.48 t/s stop
  mmlu_pro/1469                BAD   70 tok  32.32 t/s stop
  mmlu_pro/1474                BAD 2048 tok  35.94 t/s length
  mmlu_pro/2253                ok   141 tok  33.88 t/s stop
  mmlu_pro/2258                ok    59 tok  32.21 t/s stop
  mmlu_pro/2263                BAD   88 tok  32.63 t/s stop
  mmlu_pro/2273                BAD   58 tok  29.62 t/s stop
  mmlu_pro/2278                ok    40 tok  31.60 t/s stop
  mmlu_pro/2283                ok    22 tok  31.39 t/s stop
  mmlu_pro/2293                ok    24 tok  32.03 t/s stop
  mmlu_pro/2298                ok   167 tok  31.48 t/s stop
  mmlu_pro/2303                ok    80 tok  26.24 t/s stop
  mmlu_pro/2313                ok    26 tok  31.59 t/s stop
  mmlu_pro/2318                BAD   78 tok  32.42 t/s stop
  mmlu_pro/2323                ok    64 tok  33.24 t/s stop
  mmlu_pro/2333                BAD   51 tok  33.37 t/s stop
  mmlu_pro/2338                BAD   41 tok  30.23 t/s stop
  mmlu_pro/2343                BAD   67 tok  30.59 t/s stop
  mmlu_pro/3131                BAD   99 tok  31.41 t/s stop
  mmlu_pro/3136                ok    60 tok  32.43 t/s stop
  mmlu_pro/3141                ok    75 tok  32.11 t/s stop
  mmlu_pro/3151                ok    99 tok  33.96 t/s stop
  mmlu_pro/3156                BAD  143 tok  33.68 t/s stop
  mmlu_pro/3161                BAD  109 tok  34.72 t/s stop
  mmlu_pro/3171                ok    94 tok  34.92 t/s stop
  mmlu_pro/3176                ok    65 tok  33.46 t/s stop
  mmlu_pro/3181                BAD  101 tok  34.38 t/s stop
  mmlu_pro/3191                BAD   65 tok  31.62 t/s stop
  mmlu_pro/3196                ok    44 tok  33.61 t/s stop
  mmlu_pro/3201                ok    77 tok  33.81 t/s stop
  mmlu_pro/3212                ok    93 tok  33.57 t/s stop
  mmlu_pro/3217                ok    48 tok  32.78 t/s stop
  mmlu_pro/3222                ok   306 tok  34.24 t/s stop
  mmlu_pro/3994                BAD 2048 tok  34.38 t/s length
  mmlu_pro/3999                BAD 2048 tok  34.23 t/s length
  mmlu_pro/4004                BAD 2048 tok  34.23 t/s length
  mmlu_pro/4014                BAD  433 tok  34.74 t/s stop
  mmlu_pro/4019                ok   669 tok  33.77 t/s stop
  mmlu_pro/4024                BAD 2048 tok  33.99 t/s length
  mmlu_pro/4035                BAD 2048 tok  33.57 t/s length
  mmlu_pro/4040                BAD  620 tok  34.59 t/s stop
  mmlu_pro/4045                BAD  999 tok  34.21 t/s stop
  mmlu_pro/4055                BAD 2048 tok  34.35 t/s length
  mmlu_pro/4060                BAD 2048 tok  34.11 t/s length
  mmlu_pro/4065                ok   544 tok  33.68 t/s stop
  mmlu_pro/4075                ok    42 tok  33.25 t/s stop
  mmlu_pro/4080                ok   130 tok  34.55 t/s stop
  mmlu_pro/4086                BAD  304 tok  34.46 t/s stop
  mmlu_pro/4868                BAD   34 tok  33.49 t/s stop
  mmlu_pro/4873                BAD   41 tok  33.43 t/s stop
  mmlu_pro/4878                ok    84 tok  33.31 t/s stop
  mmlu_pro/4888                ok    67 tok  32.97 t/s stop
  mmlu_pro/4893                BAD   90 tok  34.09 t/s stop
  mmlu_pro/4898                ok   145 tok  33.31 t/s stop
  mmlu_pro/4908                ok   108 tok  34.03 t/s stop
  mmlu_pro/4913                ok    77 tok  32.20 t/s stop
  mmlu_pro/4918                ok   100 tok  32.32 t/s stop
  mmlu_pro/4928                BAD   69 tok  33.75 t/s stop
  mmlu_pro/4933                BAD   28 tok  33.00 t/s stop
  mmlu_pro/4938                BAD  115 tok  35.10 t/s stop
  mmlu_pro/4948                BAD  146 tok  33.97 t/s stop
  mmlu_pro/4953                BAD   76 tok  34.18 t/s stop
  mmlu_pro/4958                ok   139 tok  34.38 t/s stop
  mmlu_pro/5743                ok    71 tok  33.41 t/s stop
  mmlu_pro/5748                BAD   20 tok  32.91 t/s stop
  mmlu_pro/5753                BAD   77 tok  35.63 t/s stop
  mmlu_pro/5763                ok    84 tok  34.82 t/s stop
  mmlu_pro/5768                BAD   64 tok  34.34 t/s stop
  mmlu_pro/5773                BAD   84 tok  34.11 t/s stop
  mmlu_pro/5784                BAD  195 tok  34.42 t/s stop
  mmlu_pro/5789                ok    48 tok  34.36 t/s stop
  mmlu_pro/5794                BAD  319 tok  32.89 t/s stop
  mmlu_pro/5805                ok    77 tok  33.89 t/s stop
  mmlu_pro/5810                ok    37 tok  34.20 t/s stop
  mmlu_pro/5815                ok    54 tok  34.17 t/s stop
  mmlu_pro/5825                BAD   34 tok  33.14 t/s stop
  mmlu_pro/5830                ok    18 tok  33.08 t/s stop
  mmlu_pro/5836                BAD  160 tok  33.77 t/s stop
  mmlu_pro/6612                BAD  114 tok  34.87 t/s stop
  mmlu_pro/6617                BAD  196 tok  34.78 t/s stop
  mmlu_pro/6622                ok    64 tok  34.84 t/s stop
  mmlu_pro/6632                BAD  278 tok  35.25 t/s stop
  mmlu_pro/6637                ok   130 tok  34.57 t/s stop
  mmlu_pro/6642                ok    64 tok  34.23 t/s stop
  mmlu_pro/6652                BAD   28 tok  32.78 t/s stop
  mmlu_pro/6657                BAD   51 tok  33.83 t/s stop
  mmlu_pro/6662                ok    22 tok  33.90 t/s stop
  mmlu_pro/6672                ok    98 tok  34.68 t/s stop
  mmlu_pro/6677                ok   136 tok  34.61 t/s stop
  mmlu_pro/6682                BAD  116 tok  34.19 t/s stop
  mmlu_pro/6692                ok    83 tok  35.37 t/s stop
  mmlu_pro/6698                BAD  202 tok  34.37 t/s stop
  mmlu_pro/6703                ok    40 tok  34.03 t/s stop
  mmlu_pro/7488                BAD   23 tok  32.65 t/s stop
  mmlu_pro/7493                BAD  110 tok  34.98 t/s stop
  mmlu_pro/7498                BAD  199 tok  34.67 t/s stop
  mmlu_pro/7509                ok   324 tok  34.22 t/s stop
  mmlu_pro/7514                BAD  127 tok  34.16 t/s stop
  mmlu_pro/7519                ok    94 tok  34.31 t/s stop
  mmlu_pro/7529                ok    88 tok  34.96 t/s stop
  mmlu_pro/7534                BAD 2048 tok  34.10 t/s length
  mmlu_pro/7539                BAD   31 tok  32.23 t/s stop
  mmlu_pro/7549                ok    63 tok  34.35 t/s stop
  mmlu_pro/7554                ok   339 tok  34.65 t/s stop
  mmlu_pro/7559                ok    80 tok  34.55 t/s stop
  mmlu_pro/7569                BAD   60 tok  34.76 t/s stop
  mmlu_pro/7574                ok  1342 tok  33.53 t/s stop
  mmlu_pro/7579                ok    84 tok  34.90 t/s stop
  mmlu_pro/8352                ok   148 tok  34.48 t/s stop
  mmlu_pro/8357                ok    84 tok  35.22 t/s stop
  mmlu_pro/8362                ok    83 tok  33.54 t/s stop
  mmlu_pro/8372                BAD 2048 tok  33.62 t/s length
  mmlu_pro/8377                ok   650 tok  33.98 t/s stop
  mmlu_pro/8382                BAD 2048 tok  34.25 t/s length
